Village,Nitrogen - High,Nitrogen - Medium,Nitrogen - Low,Phosphorous - High,Phosphorous - Medium,Phosphorous - Low,Potassium - High,Potassium - Medium,Potassium - Low,OC - High,OC - Medium,OC - Low,EC - Saline,EC - Non Saline,pH - Acidic,pH - Neutral,pH - Alkaline
Melamanjanoor,0,0,18,14,2,2,0,14,4,0,0,18,0,18,0,18,0
Olagalapadi,0,0,14,2,8,4,0,10,4,0,0,14,0,14,0,14,0
Keelamanjanoor,0,0,13,9,0,4,0,9,4,0,0,13,0,13,0,13,0
Thandarampatti,0,0,7,0,6,1,0,6,1,0,0,7,0,7,0,7,0
Keelsinipakkam,0,0,13,11,1,1,0,11,2,0,0,13,0,13,0,13,0
Melsinipakkam,0,0,33,30,1,2,0,30,3,0,0,33,0,33,0,33,0
Kunjalanatham,0,0,4,2,2,0,0,2,2,0,0,4,0,4,0,4,0
Radhapuram,0,0,9,7,1,1,0,5,4,0,0,9,0,9,0,9,0
Keelravandavandi,0,0,4,0,1,3,0,0,4,0,0,4,0,4,0,4,0
Thenkarimbalur,0,0,6,4,2,0,0,4,2,0,0,6,0,6,0,6,0
Royandapuram,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0
Beemarapatti,0,0,8,4,1,3,0,5,3,0,0,8,0,8,0,8,0
Veppurchekkadi,0,0,3,0,1,2,0,0,3,0,0,3,0,3,0,3,0
Semmanpatti,0,0,5,2,0,3,0,2,3,0,0,5,0,5,0,5,0
Jambodai,0,0,3,0,0,3,0,0,3,0,0,3,0,3,0,3,0
Puthurchekkadi,0,0,8,4,0,4,0,5,3,0,0,8,0,8,0,8,0
Melmuthanur,0,0,3,0,0,3,0,0,3,0,0,3,0,3,0,3,0
Velur T.,0,0,45,28,15,2,2,27,16,0,4,41,0,45,0,45,0
Thiruvadathanur,0,0,13,7,3,3,0,10,3,0,0,13,0,13,0,13,0
Narayankuppam,0,0,11,7,2,2,0,9,2,0,0,11,0,11,0,11,0
Puduchekkadi,0,0,9,1,6,2,0,6,3,0,2,7,0,9,0,9,0
Malayanoorchakkadi,0,0,3,0,1,2,0,0,3,0,0,3,0,3,0,3,0
Athipadi,0,0,13,8,1,4,0,8,5,0,0,13,0,13,0,13,0
Melpasar,0,0,4,0,2,2,0,1,3,0,0,4,0,4,0,4,0
Kilpasar,0,0,2,0,0,2,0,0,2,0,0,2,0,2,0,2,0
Se.Andapattu,0,0,4,1,1,2,0,1,3,0,0,4,0,4,0,4,0
Mothakkal,0,0,3,0,1,2,0,0,3,0,0,3,0,3,0,3,0
Abbunaickenpalayam,0,0,5,2,1,2,0,3,2,0,0,5,0,5,0,5,0
Edakkal,0,0,99,99,0,0,0,99,0,0,0,99,0,99,0,99,0
Kottaiyur,0,0,3,0,3,0,0,3,0,0,0,3,0,3,0,3,0
Sadakuppam,0,0,2,2,0,0,0,2,0,0,0,2,0,2,0,2,0
Unnamalaipalayam,0,0,4,4,0,0,0,4,0,0,0,4,0,4,0,4,0
Thondamanur,0,0,5,5,0,0,0,5,0,0,0,5,0,5,0,5,0
Agarampallipattu,0,0,2,2,0,0,0,2,0,0,0,2,0,2,0,2,0
Valavachanur,0,0,2,2,0,0,0,2,0,0,0,2,0,2,0,2,0
Sathanur,0,0,17,0,16,1,0,17,0,0,0,17,0,17,0,17,0
Melkaripur,0,0,9,1,8,0,0,9,0,0,0,9,0,9,0,9,0
Kolundampattu,0,0,8,8,0,0,0,8,0,0,0,8,0,8,0,8,0
Keelvanakkambadi,0,0,10,9,1,0,0,10,0,0,0,10,0,10,0,9,0
Nedungavadi,0,0,7,7,0,0,0,7,0,0,0,7,0,7,0,7,0
Veeranam,0,0,7,6,1,0,0,6,1,0,0,7,0,7,0,7,0
C.Gengampattu,0,0,125,25,83,17,7,111,7,0,4,121,0,125,0,124,1
Narasinganallur,0,0,117,52,28,37,1,37,79,5,19,92,20,96,0,45,71
Vasudevanpattu,0,0,68,2,20,47,0,62,7,0,12,56,0,67,0,62,2
Annandal,0,0,47,4,14,29,1,39,9,0,2,45,0,46,0,45,0
Unnamalaipalayam,0,0,109,37,56,17,0,92,19,0,24,79,0,95,0,91,1
Pudurchengam,0,0,114,91,24,1,1,100,15,0,2,111,0,111,0,111,0
Korattambattu,0,0,89,77,10,4,2,66,23,0,3,83,1,85,1,83,0
Karapattu,0,0,125,103,21,2,0,12,114,0,9,116,0,125,9,116,0
Melmudiyanur,0,0,26,1,8,17,0,3,23,0,0,26,0,26,0,26,0
Nandimangalam,0,0,34,0,13,21,2,32,0,6,8,19,0,33,1,32,0
Eraiyur,0,0,5,2,1,2,0,1,4,0,2,3,0,5,0,5,0
Vadamathur,0,0,5,1,1,3,0,2,3,0,0,5,0,5,0,5,0
Melnachipattu,0,0,3,2,1,0,0,2,1,0,0,3,0,3,0,3,0
Melpadur,0,0,9,6,1,2,0,6,3,0,1,8,0,9,0,9,0
Nathavadi,0,0,3,2,1,0,0,2,1,0,1,2,0,3,0,3,0
Nayambadi,0,0,35,26,7,2,2,32,1,0,0,35,0,35,0,30,5
Veeranandal,0,0,38,29,9,0,3,32,3,0,0,38,0,38,0,38,0
Mashar,0,0,27,19,8,0,0,26,1,0,1,26,0,27,0,27,0
Endal,0,0,8,6,2,0,1,6,1,0,0,8,0,8,0,8,0
Gulalpadi,0,0,2,1,1,0,0,2,0,0,1,1,0,2,0,2,0
Thorapadi,0,0,2,2,0,0,0,2,0,0,1,1,0,2,0,2,0
Alliandal,0,0,4,0,2,2,1,3,0,0,0,4,0,4,0,4,0
Padiagraharam,0,0,4,1,2,1,0,4,0,0,0,4,0,4,0,4,0
Kilpadur,0,0,2,0,1,1,0,2,0,0,0,2,0,2,0,2,0
Kottakulam,0,0,3,1,1,1,0,3,0,0,0,3,0,3,0,3,0
Perieri,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0
C.Nammiyandal,0,0,3,0,2,1,1,2,0,0,0,3,0,3,0,3,0
Oravandavadi,0,0,4,1,2,1,0,4,0,0,1,3,0,4,0,4,0
Alathur,0,0,4,0,0,4,0,4,0,0,1,3,0,4,0,4,0
Kallarapadi,0,0,2,0,2,0,0,2,0,0,0,2,0,2,0,2,0
Aridharimangalam,0,0,2,1,0,1,0,2,0,0,0,2,0,2,0,2,0
Kanji,0,0,2,1,1,0,0,2,0,0,0,2,0,2,0,2,0
Melapunjai,0,0,2,1,0,1,0,2,0,0,0,2,0,2,0,2,0
Voividanthangal,0,0,122,5,36,81,11,58,53,0,6,116,0,122,0,122,0
Senthamangalam,0,0,2,1,1,0,0,1,1,0,0,2,0,2,0,2,0
Japthikariyandal,0,0,4,1,0,3,0,4,0,0,0,4,0,4,0,4,0
Muthanur,0,0,2,1,1,0,1,1,0,0,0,2,0,2,0,2,0
Panaiolapadi,0,0,2,1,0,1,0,2,0,0,0,2,0,2,0,2,0
Munnuramangalam,0,0,2,2,0,0,0,2,0,0,1,1,0,2,0,2,0
Dhamaraipakkam,0,0,2,2,0,0,1,0,1,0,0,2,0,2,0,2,0
Pudupattu,0,0,30,22,7,1,0,15,15,0,1,29,0,30,0,30,0
Kalkuppam,0,0,118,38,39,41,12,49,57,4,38,76,0,118,0,103,15
Thuvinjikuppam,1,0,102,56,35,12,1,85,17,2,5,96,0,103,1,102,0
Mukkurambi,0,0,118,21,22,75,2,109,7,0,12,106,0,118,0,118,0
Perigaram,0,0,92,54,36,5,2,72,23,0,4,85,0,85,0,81,2
Kangiyanoor,0,0,98,2,3,94,0,3,96,0,10,88,0,95,0,94,0
Pudupalayam,0,0,101,42,22,38,0,36,66,0,12,89,0,101,0,83,17
Kunnathur,0,0,101,97,3,1,0,0,101,0,0,100,0,100,0,100,0
Murugapady,0,0,98,79,18,2,0,4,95,0,2,96,0,97,0,95,0
Palvathuvendran,0,0,3,2,1,0,0,3,0,0,0,3,0,3,0,3,0
Athuvambady,0,0,3,3,0,0,0,2,1,0,0,3,0,3,0,3,0
Kelur,0,0,3,3,0,0,0,3,0,0,0,3,0,3,0,3,0
Thiappanandhal,0,0,3,3,0,0,0,2,1,0,0,3,0,3,0,3,0
Kattipoondy,0,0,5,5,0,0,0,5,0,0,0,5,0,5,0,5,0
Sitteri,0,0,5,5,0,0,0,5,0,0,0,5,0,5,0,5,0
Vilankuppam,0,0,2,2,0,0,0,1,1,0,0,2,0,2,0,2,0
Polur,0,0,4,0,2,2,1,2,1,0,0,4,0,4,0,4,0
Edapirai,0,0,2,0,1,1,0,2,0,0,0,2,0,2,0,2,0
Somanathaputhur,0,0,2,0,0,2,0,1,1,0,0,2,0,2,0,2,0
Renderipattu,0,0,2,0,0,2,0,2,0,0,1,1,0,2,0,2,0
Kuruvimalai,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0
Vasur,0,0,2,1,1,0,0,1,1,0,0,2,0,2,0,2,0
Nammiyandal (S),0,0,2,0,1,1,0,1,1,0,0,2,0,2,0,2,0
Padiyambattu,0,0,2,0,1,1,0,2,0,0,0,2,0,2,0,2,0
Tirusoor,0,0,2,0,1,1,0,0,2,0,0,2,0,2,0,2,0
Pappampady,0,0,2,0,0,2,0,2,0,0,0,2,0,2,0,2,0
Venmani,0,0,3,0,0,3,0,0,3,0,0,3,0,3,0,3,0
Athimoor,0,0,2,0,2,0,0,1,1,0,0,2,0,2,0,2,0
Kaliyam,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0
Tindivanam,0,0,2,0,0,2,0,2,0,0,0,2,0,2,0,2,0
Potharai,0,0,2,0,0,2,0,0,2,0,0,2,0,2,0,2,0
Jadatharikuppam,0,0,2,1,1,0,0,2,0,0,1,1,0,2,0,2,0
Eluvambady,0,0,2,2,0,0,0,1,1,0,0,2,0,2,0,2,0
Mambattu,0,0,2,0,1,1,0,1,1,0,0,2,0,2,0,2,0
Solavaram,0,0,6,0,5,1,0,1,5,0,0,6,0,6,0,5,1
Morakaniyanur,0,0,104,28,76,0,10,92,2,0,0,104,0,103,0,103,0
Semmambadi,0,0,100,0,84,16,0,13,87,0,0,100,1,99,1,99,0
Poondi (Mela),0,0,100,0,83,17,16,84,0,0,0,100,0,100,0,100,0
Melanur,0,3,97,65,31,4,14,64,22,0,1,99,0,100,0,100,0
Ariyapadi,0,0,8,0,7,1,1,7,0,0,2,6,0,8,0,8,0
Ayalavadi,1,0,99,0,25,75,2,92,6,0,16,84,0,100,0,100,0
Nariyambadi,0,0,95,0,29,66,0,0,95,0,0,95,0,95,0,95,0
Anmarudai,0,0,8,0,7,1,0,7,1,0,1,7,0,8,0,8,0
Melathangal,0,0,100,0,25,75,0,3,97,0,0,100,0,100,0,99,1
Visamangalam,0,0,100,0,22,78,0,1,99,0,0,100,0,100,2,98,0
Mosavadi,0,0,98,1,37,60,0,78,20,0,9,89,0,98,0,98,0
Thavani,0,0,4,1,3,0,1,3,0,0,0,4,0,4,0,4,0
Manickkamangalam,0,0,5,3,2,0,1,4,0,0,0,5,0,5,0,5,0
Septankulam,0,0,7,2,5,0,3,4,0,0,0,7,0,7,0,7,0
Vadugamangalam,0,0,2,2,0,0,0,2,0,0,0,2,0,2,0,2,0
Anaibogi,0,0,3,0,3,0,1,2,0,0,0,3,0,3,0,3,0
Nambedu,0,0,2,0,2,0,1,1,0,0,0,2,0,2,0,2,0
Melpalayam,0,0,3,0,3,0,1,1,1,0,0,3,0,3,0,3,0
Ragunathasamudram,0,0,8,2,6,0,0,8,0,0,0,8,0,8,0,8,0
Reddikuppam,0,0,22,7,15,0,5,16,1,0,0,22,0,22,0,22,0
Thadinolambai,0,0,4,0,4,0,4,0,0,0,0,4,0,4,0,4,0
Mahadevimangalam,0,0,5,0,5,0,3,2,0,0,0,5,0,5,0,5,0
Injimedu,0,0,5,0,5,0,2,3,0,0,0,5,0,5,0,5,0
Vallan,0,0,9,4,5,0,0,6,3,0,0,9,0,9,0,8,0
Erumbur,0,0,2,0,2,0,2,0,0,0,0,2,0,2,0,2,0
Vilanallur,0,0,3,1,2,0,0,2,1,0,0,3,0,3,0,3,0
Thellarampattu,0,0,2,0,2,0,0,2,0,0,0,2,0,2,0,2,0
Alliyandal,0,0,3,0,3,0,0,0,3,0,0,3,0,3,0,3,0
Chandirambadi,0,0,3,0,2,1,0,3,0,0,1,2,0,3,0,3,0
Kattamangalam,0,0,3,0,2,1,1,2,0,0,0,3,0,3,0,3,0
Imapuram,0,0,5,0,4,1,0,4,1,0,0,5,0,5,0,5,0
Vayaloor,0,0,3,0,2,1,0,3,0,0,0,3,0,3,0,2,1
Matam,0,0,3,0,3,0,0,0,3,0,0,3,0,3,0,3,0
Kolappalur,0,0,2,0,2,0,2,0,0,0,0,2,0,2,0,2,0
Sudrakatteri,0,0,3,0,3,0,0,2,1,0,0,3,0,3,0,3,0
Marakkunam,0,0,3,0,3,0,0,3,0,0,0,3,0,3,0,3,0
Gengapuram,0,0,5,0,5,0,0,4,1,0,0,5,0,5,0,5,0
Namathodu,0,0,4,0,4,0,0,4,0,0,0,4,0,4,0,4,0
Jagannathapuram,0,0,2,0,2,0,0,0,2,0,0,2,0,2,0,2,0
Kottupakkam,0,0,3,0,3,0,0,2,1,0,0,3,0,3,0,3,0
Kadapanthangal (Then),0,0,2,0,2,0,0,0,2,0,0,2,0,2,0,2,0
Kolipuliyur,0,0,3,0,3,0,0,2,1,0,0,3,0,3,0,3,0
Kalyanapuram,0,0,4,0,4,0,0,0,4,0,0,4,0,4,0,4,0
Konamangalam,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0
Melacheri,0,0,2,0,2,0,0,1,1,0,0,2,0,2,0,2,0
Narayanamangalam,0,0,2,0,2,0,0,2,0,0,0,2,0,2,0,2,0
Sathamangalam (MEL),0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0
Avaniyapuram,0,0,7,1,6,0,0,7,0,0,2,5,0,7,0,7,0
Nalladisenai,0,0,5,0,5,0,0,4,1,0,1,4,0,5,0,3,2
Poongunam,0,0,3,0,3,0,0,2,1,0,0,3,0,3,0,0,3
Solaiarugavur,0,0,2,0,2,0,0,1,1,0,1,1,0,2,0,0,2
Endal,0,0,2,1,1,0,0,2,0,0,0,2,0,2,0,2,0
Neivanatham,0,0,4,3,1,0,1,2,1,0,0,4,0,4,0,4,0
Rajanthangal,0,0,72,55,15,2,0,5,67,0,1,71,0,72,4,65,0
Sanipoondi,0,0,3,2,1,0,0,0,3,0,0,3,0,3,0,3,0
Avur,0,0,115,44,55,16,3,103,9,0,12,102,0,113,1,111,1
Gudalore (Z),0,0,2,2,0,0,0,2,0,0,0,2,0,2,0,2,0
Iluppanthangal,0,0,50,43,7,0,0,4,46,0,1,49,0,50,7,43,0
Vayalur,0,0,3,1,1,1,3,0,0,0,1,2,0,3,0,3,0
Kattumalaiyanur,0,0,2,0,1,1,0,0,2,0,0,2,0,2,0,2,0
Seyyaleri,0,0,2,0,0,2,0,2,0,0,2,0,0,2,0,2,0
Keeranur,0,0,2,0,2,0,0,0,2,1,0,1,0,2,0,2,0
Arumbakkam,0,0,2,0,1,1,0,1,1,0,1,1,0,2,0,2,0
Kalingaleri,0,0,67,50,13,4,0,1,66,0,3,64,0,67,0,66,1
Neikuppam,0,0,2,2,0,0,0,0,2,0,0,2,0,2,0,2,0
Chellankuppam,0,0,2,1,1,0,0,0,2,0,0,2,0,2,0,2,0
Gengapattu (NA),0,0,2,0,1,1,0,0,2,0,0,2,0,2,0,2,0
Nadalarganandal,0,0,4,1,1,2,0,0,4,0,0,4,0,4,0,4,0
Sorappanandal,0,0,54,42,12,0,0,1,53,0,1,53,0,54,0,54,0
Konalur,0,0,119,85,27,7,5,34,80,0,3,116,0,119,49,61,9
Velanandal,0,0,2,1,0,1,0,0,2,0,2,0,0,2,0,2,0
Sorathur,0,0,56,2,46,8,8,30,18,16,33,7,0,56,0,56,0
Panniyur,0,0,2,0,1,1,0,0,2,0,0,2,0,2,0,2,0
Angunam,0,0,2,2,0,0,0,1,1,0,1,1,0,2,0,2,0
Vaippur,0,0,3,1,0,2,0,0,3,0,0,3,0,3,0,3,0
Ponnimedu,0,0,3,2,1,0,0,3,0,0,0,3,0,3,0,3,0
Kallayyee,0,0,64,43,19,2,6,7,51,0,12,52,0,64,0,64,0
Anukkumalai,0,0,3,2,1,0,0,2,1,0,2,1,0,3,0,3,0
Agaram,0,0,3,0,3,0,0,0,3,0,0,3,0,3,0,3,0
Erpakkam,0,0,2,2,0,0,0,1,1,0,0,2,0,2,0,2,0
Vatraputhur,0,0,48,48,0,0,1,39,8,0,12,36,0,48,42,5,0
Iyangunnam,0,0,57,41,4,12,0,34,23,0,4,53,1,56,20,37,0
Vazhuthalangunnam,0,0,105,88,16,1,1,6,98,0,1,103,0,104,0,104,0
Aranji,0,0,86,86,0,0,0,0,86,1,2,83,0,86,25,61,0
Kolathur,0,0,114,1,18,95,40,74,0,0,0,114,1,113,1,113,0
Kazhikulam,0,0,7,4,2,1,3,2,2,0,1,6,0,7,0,7,0
Karampoondi,0,0,8,6,2,0,1,6,1,0,1,7,0,8,0,8,0
Kalpoondi,0,0,3,0,2,1,0,1,2,0,0,3,0,3,0,3,0
Sirunathur,0,0,4,4,0,0,2,0,2,0,1,3,0,4,0,4,0
Kathalampattu,0,0,4,2,0,2,1,0,3,0,0,4,0,4,1,3,0
Ganapapuram,0,0,9,7,2,0,4,3,2,0,0,9,0,9,0,9,0
Mekalore,0,0,13,9,3,1,6,0,7,0,1,12,0,13,3,10,0
Sevarapoondi,0,0,9,5,1,3,5,1,3,0,3,6,0,9,0,9,0
Keekaloor,0,0,6,4,0,2,3,2,1,0,1,5,0,6,0,6,0
Nariyamangalam,0,0,3,1,2,0,1,1,1,0,0,3,0,3,0,3,0
Padagam,0,13,113,44,55,27,48,56,22,0,7,119,0,126,0,126,0
Kadalady,0,0,143,49,56,38,0,74,69,0,0,143,0,143,0,143,0
Mattavettu,0,0,128,1,67,60,0,128,0,0,0,127,0,127,0,127,0
Sholavaram,0,0,113,34,69,10,0,15,98,0,0,113,0,113,0,113,0
Poondi,0,0,172,44,103,25,58,110,4,0,42,130,0,172,0,172,0
Kettavarampalayam,0,0,15,11,3,1,3,12,0,0,2,13,0,15,1,14,0
Kidampalayam,0,0,126,50,47,29,90,36,0,0,67,59,0,126,0,126,0
Kampattu,0,0,137,24,42,71,3,79,55,0,1,136,0,137,0,137,0
Kalasapakkam,0,0,11,9,1,1,1,10,0,0,0,11,0,11,0,11,0
Vilvarayanallur (Mel),0,0,123,13,82,28,2,100,21,0,1,122,0,123,0,119,4
Vanniyanur,0,0,124,21,56,47,28,80,16,2,7,115,0,124,0,124,0
Padiyamputtu,0,0,8,5,3,0,0,8,0,0,0,8,0,8,0,8,0
Vadakarainammiyandal,0,0,15,15,0,0,5,10,0,0,2,13,0,15,0,15,0
Sholankuppam (MEL),0,0,21,13,8,0,12,9,0,1,4,16,0,21,0,20,1
Seenandal,0,0,4,4,0,0,4,0,0,0,0,4,0,4,0,4,0
Gangavaram,0,0,9,9,0,0,1,8,0,0,0,9,0,9,0,9,0
Kanthapalayam,0,0,3,3,0,0,1,2,0,0,0,3,0,3,0,3,0
Deverayanpalayam,0,0,10,9,1,0,1,9,0,0,0,10,0,10,0,10,0
Veeralur,0,0,7,5,2,0,1,6,0,0,0,7,0,7,0,7,0
Thenagaram,0,0,2,2,0,0,0,2,0,0,0,2,0,2,0,2,0
Elathur,0,0,2,0,2,0,0,2,0,0,0,2,0,2,0,2,0
Bannambut,0,0,2,1,1,0,0,2,0,0,0,2,0,2,0,2,0
Kilpotharai,0,0,2,2,0,0,0,2,0,0,0,2,0,2,0,2,0
Kachirimangalam,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0
Ernamangalam,0,0,2,2,0,0,0,2,0,0,0,2,0,2,0,2,0
Kil palur,0,0,2,2,0,0,0,2,0,0,0,2,0,2,0,2,0
Piryambut,0,0,2,1,1,0,0,2,0,0,0,2,0,2,0,2,0
Mel palur,0,0,4,2,2,0,0,4,0,0,0,4,0,4,0,4,0
Melarani,0,0,3,3,0,0,0,3,0,0,0,3,0,3,0,3,0
Mathimangalam (Then),0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0
Vinnuvampattu,0,0,3,3,0,0,0,3,0,0,0,3,0,3,0,3,0
Palan koil,0,0,3,3,0,0,0,3,0,0,0,3,0,3,0,3,0
Anaivady,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0
Alangaramangalam,0,0,2,1,1,0,0,2,0,0,0,2,0,2,0,2,0
Seettampattu,0,0,5,5,0,0,0,5,0,0,0,5,0,5,0,5,0
Pathiyavady,0,0,8,7,1,0,0,8,0,0,0,8,0,8,0,8,0
Palliput (Then),0,0,3,3,0,0,0,3,0,0,0,3,0,3,0,3,0
Ginganallur,0,0,10,8,2,0,0,9,1,0,0,10,0,10,0,10,0
Kalur,0,0,3,3,0,0,0,3,0,0,0,3,0,3,0,3,0
Pillur,0,0,2,2,0,0,0,2,0,0,0,2,0,2,0,2,0
Arunagirimangalam,0,0,3,1,2,0,0,3,0,0,0,3,0,3,0,3,0
Gangalamahadevi,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0
Kappalur,0,0,3,3,0,0,0,3,0,0,0,3,0,3,0,3,0
Ladavaram,0,0,7,6,1,0,0,7,0,0,0,7,0,7,0,7,0
Aniyalai,0,0,5,5,0,0,0,5,0,0,0,5,0,5,0,5,0
Sengaputheri,0,0,3,3,0,0,0,3,0,0,0,3,0,3,0,3,0
Puliyur,0,0,25,13,6,6,0,4,22,0,2,22,0,25,0,24,0
Nammiyampattu,0,0,75,65,9,1,5,44,26,4,18,53,0,75,0,75,0
Kuttakarai,0,0,52,38,9,5,4,13,35,4,12,36,0,52,1,49,0
Thumbakkadu,0,0,23,16,4,3,0,0,23,3,8,12,0,23,0,23,0
Melchippili,0,0,19,19,0,0,0,0,19,0,6,13,0,19,0,19,0
Pattarikadu,0,0,6,3,2,1,0,0,6,2,1,3,0,6,0,6,0
Kovilur,0,0,74,36,32,6,30,43,1,4,13,57,0,74,0,73,0
Nellivoy,0,0,29,10,9,10,0,13,16,0,8,21,0,29,0,29,0
Erukambattu,0,0,21,19,2,0,0,13,8,5,7,9,0,21,0,21,0
Perumuttam,0,0,18,6,8,4,0,8,10,0,8,10,0,18,0,18,0
Melthattiyapattu,0,0,2,2,0,0,0,1,1,0,1,1,0,2,0,2,0
Kilthattiyapattu,0,0,6,3,2,1,0,4,2,0,3,3,0,6,0,6,0
Mandaparai,0,0,4,0,0,4,0,0,4,0,2,2,0,4,0,4,0
Pudupattu,0,0,3,0,0,3,0,0,3,0,2,1,0,3,0,3,0
Odamangalam,0,0,2,0,0,2,0,0,2,0,0,2,0,2,0,2,0
Bandirev,0,0,2,0,0,2,0,2,0,0,1,1,0,2,0,2,0
Chinnakilpattu,0,0,2,1,1,0,0,2,0,0,1,1,0,2,0,2,0
Athipattu,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0
Padapanjamarathur,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0
Melsilambadi,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0
Erumaiyanur,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0
Maligaipattu,0,0,49,42,7,0,0,49,0,0,0,49,0,49,0,49,0
Thozhupedu,0,0,102,2,64,36,3,99,0,0,1,101,0,102,0,101,0
Periyakoil,0,0,63,1,43,19,18,45,0,0,0,63,0,62,0,62,0
Duli,0,0,79,6,55,18,12,67,0,0,4,75,0,79,0,79,0
Parasur,0,0,99,0,81,18,21,78,0,0,1,98,0,99,0,99,0
Mukkur,0,0,115,6,81,28,0,115,0,0,11,104,1,114,1,114,0
Melkovalavedu,0,0,61,28,29,4,0,54,7,0,0,61,0,61,0,61,0
Agatheripattu,0,0,27,25,2,0,0,27,0,0,0,27,0,27,0,27,0
Kunnathur,0,0,101,1,82,18,0,100,1,0,1,100,1,100,1,100,0
Veliyanallur,0,0,117,2,82,33,0,109,8,0,17,100,1,116,1,115,0
Puliyarampakkam,0,0,41,7,26,8,2,34,5,0,0,41,4,37,4,37,0
Kazhiyur,0,0,186,6,127,53,3,183,0,0,0,186,4,182,4,182,0
Navalpakkam,0,3,145,15,120,13,35,96,17,0,2,146,1,147,1,147,0
Arugavoor,0,0,106,5,78,23,0,104,2,1,0,105,0,106,0,106,0
Melnagarambedu,0,0,4,2,2,0,0,4,0,0,3,1,0,4,0,4,0
Vinnamangalam,0,0,5,3,2,0,0,4,1,0,4,1,0,5,0,5,0
Melputhur,0,0,2,2,0,0,1,1,0,0,0,2,0,2,0,2,0
Korukkathur,0,0,2,1,1,0,1,1,0,0,0,2,0,2,0,2,0
Munugapattu,0,0,2,2,0,0,1,1,0,0,0,2,0,2,0,2,0
Pillanthi,0,0,3,3,0,0,1,2,0,0,1,2,0,3,0,3,0
Mel Seeshamangalam,0,0,6,2,4,0,0,6,0,0,3,3,0,6,0,6,0
Devanathur,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0
Melmattai,0,0,2,0,2,0,0,2,0,0,0,2,0,2,0,2,0
Thirumani,0,0,9,5,4,0,0,9,0,0,8,1,0,9,0,9,0
Kaduganur,0,0,2,1,1,0,0,2,0,0,0,2,0,2,0,2,0
Ramakrishnapuram,0,0,2,2,0,0,0,1,1,0,2,0,0,2,0,2,0
Thenpoondipattu,0,0,2,2,0,0,0,0,2,0,0,2,0,2,0,2,0
Sirungattur,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0
Barathanthangal,0,0,2,2,0,0,0,1,1,0,0,2,0,2,0,2,0
Pappanthangal,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0
Paingkinar,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0
Kazhanipakkam,0,0,4,0,4,0,0,4,0,0,4,0,0,4,0,4,0
Perungalathur,0,0,4,0,4,0,0,4,0,0,0,4,0,4,0,4,0
Mariyanallur,0,0,2,2,0,0,0,2,0,0,0,2,0,2,0,2,0
Nedumpirai,0,0,3,3,0,0,0,3,0,0,0,3,0,3,0,3,0
Palli,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0
Vadaelapakkam,0,0,3,0,3,0,0,3,0,0,0,3,0,3,0,3,0
Vadapoondipattu,0,0,2,2,0,0,0,2,0,0,0,2,0,2,0,2,0
Vadangampattu,0,0,5,0,5,0,0,5,0,0,0,5,0,5,0,5,0
Madurai,0,0,2,2,0,0,0,2,0,0,0,2,0,2,0,2,0
Vakkadai,0,0,4,4,0,0,0,4,0,0,0,4,0,4,0,4,0
Kizhapalanthai,0,0,3,3,0,0,0,3,0,0,0,3,0,3,0,3,0
Thumbai,0,0,2,2,0,0,0,2,0,0,0,2,0,2,0,2,0
Siruveliyanallur,0,0,2,0,2,0,0,2,0,0,0,2,0,2,0,2,0
Velleripattu,0,0,2,2,0,0,0,2,0,0,0,2,0,2,0,2,0
Kilpudupakkam (CT),0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0
Korukkai,0,0,5,5,0,0,0,5,0,0,0,5,0,5,0,5,0
Naval,0,0,5,5,0,0,0,5,0,0,0,5,0,5,0,5,0
Pudukottai,0,0,2,2,0,0,0,2,0,0,0,2,0,2,0,2,0
Perumpandi,0,0,2,2,0,0,0,2,0,0,0,2,0,2,0,2,0
Kodanagar,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0
Vinnavadi,0,0,9,6,3,0,0,9,0,0,1,8,0,9,0,9,0
Mangalam,0,0,2,1,1,0,0,2,0,0,0,2,0,2,0,2,0
Pelasur,0,0,100,0,7,93,0,97,3,0,16,84,0,100,0,97,1
